tenant_id,industry,query,expected_store_role,expected_location,ownership_group
sodimac,home_improvement,Easy Construmart Imperial Chilemat Alto Hospicio Chile,competitor_store,alto_hospicio,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Angol Chile,competitor_store,angol,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Antofagasta Chile,competitor_store,antofagasta,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Antofagasta La Portada Chile,competitor_store,antofagasta_la_portada,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Arica Chile,competitor_store,arica,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Concepción Talcahuano Chile,competitor_store,autopista_concepcion_talcahuano,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Biobío Concepción Chile,competitor_store,biobio,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Calama Chile,competitor_store,calama,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Cantagallo Las Condes Chile,competitor_store,cantagallo,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Cauquenes Chile,competitor_store,cauquenes,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Cerrillos Chile,competitor_store,cerrillos,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Chillán Chile,competitor_store,chillan,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Chiloé Castro Chile,competitor_store,chiloe,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Copiapó Chile,competitor_store,copiapo,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Copiapó Cordillera Chile,competitor_store,copiapo_cordillera,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Coquimbo Chile,competitor_store,coquimbo,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Coronel Chile,competitor_store,coronel,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Coyhaique Chile,competitor_store,coyhaique,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Curicó Chile,competitor_store,curico,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat El Belloto Quilpué Chile,competitor_store,el_belloto,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat El Bosque Chile,competitor_store,el_bosque,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Estación Central Chile,competitor_store,estacion_central,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Huechuraba Chile,competitor_store,huechuraba,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Independencia Chile,competitor_store,independencia,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Iquique Chile,competitor_store,iquique,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat Kennedy Las Condes Chile,competitor_store,kennedy,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat La Calera Chile,competitor_store,la_calera,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat La Reina Chile,competitor_store,la_reina,competitor
sodimac,home_improvement,Easy Construmart Imperial Chilemat La Serena Chile,competitor_store,la_serena,competitor
